x,y
bad boring,0
,1
bad,0
camcorder,1
sucked bad bad bad,0
postwar,1
bad,1
,1
,1
boring,0
,1
90 philip albert finney finney finney,1
boring bad,0
morons incoherent,0
bad sucks unoriginal poorly lame crap bother bad suck,1
,0
jonathan,1
,0
,1
bad,0
,1
sucked,1
capturing bad,0
costs,1
crap worse worse,0
,1
bad,1
bad,1
cheap cheap bad,0
sucked laughable junk,0
worse stupid stupid,0
barbara watson watson,1
,1
toilet,1
bad junk,0
awful worse bad gershwin bother,0
,1
otto laura postwar otto meaningless otto otto,1
bother garbage incoherent,1
bad,0
,1
,1
dumb eat,0
bad,0
bad,1
boring lame bad bother,0
sucks gonna lame bad garbage 90 210,0
,0
rupert fastforward,1
,1
,1
margaret,1
bother,0
daylewis daylewis,1
,0
budget crap cgi bad waste crappy,0
horrible boring waste,0
portrait ruth,1
dumb cary cary longsuffering cary,0
,1
fooled,0
,1
,1
,0
poorly puke,1
stewart bad,1
junk dumb bad bad stupid fake bad bother fake plain dumb,0
worse budget horrible bad stupid stupid eaten bad bad bad,0
0 pile waste worse pathetic gonna,0
bloom bad,0
budget stupid bad barrel laughable stupid,0
lame bad,0
,1
,0
budget lame wasting,0
,0
horrible toilet bad,0
bad bad plain laughably bad,0
waste,0
,1
worse worse,1
,1
,1
bad,0
bad waste,0
incoherent,0
stupid,1
,1
bad waste,0
boring bad waste,0
,1
waste,0
horrible,0
,1
,0
fiennes fiennes bad garbage,0
,1
,1
worse,0
,1
stupid,1
,0
bad,0
,1
boring,1
,1
,1
,1
crap bother,0
awful bad awful bad costs 010,0
awful sucked bad crap,0
bad bad boring rubber,0
garbage junk,0
stupid bad worse,0
,0
bad bad bad,0
philip,1
bad hale plain laughable,1
victoria albert victoria victoria victoria albert rupert bettany victoria albert,1
bad,0
pathetic bad finney finney 90 finney philip,0
painter vibrant,1
bad bad,0
budget,1
powell powell sucked,1
junk crappy bad awful incoherent stupid cheesy bad bad,0
pile pile waste crap crap steaming pile waste wasting worse,0
budget,1
,0
boring excuse vomit,0
crap crap horrible lame,0
captures bad,1
,0
,0
,0
worse stupid bad,1
,1
,1
,1
rathbone,1
scarecrows dumb scarecrows scarecrows scarecrows cheap scarecrows scarecrows crap scarecrows,0
,1
,1
,1
,1
,1
unoriginal budget bad unimaginative worse,0
bad,1
barbara,0
stupid,0
crappy,0
bad,1
,1
bother bad poorly bad captures,0
,1
,1
,1
awful horrible bad horrible,0
,1
,1
bad worse barrel bad,0
denis,1
,1
sucked,0
crap,0
cheesy bad,0
,1
collaborator,0
bad bad bad bad bad bad bad cheap,0
stupid bad bad bad worse,0
stupid,1
lame lame lame waste,0
,1
,1
,1
rubbish gonna,1
,1
boring vera boring vera unoriginal,0
,0
,1
budget poorly bad unoriginal,0
bad garbage bad dung bad bad gonna gonna bad horrible dumb crap bad crap toilet,0
,0
bad awful,0
worse,0
captures,1
worse pile crap plain stupid crappy,0
wasting dumber,0
obrien obrien bad,0
philip,1
,1
,1
vibrant,1
crap fake worse stupid bad,0
plain plain stupid,1
,1
rubber,1
bad bad bad bad bad awful poorly,0
,1
bad cheap,0
horrible,1
cary 90,0
boring,0
,0
,1
,1
gifted,1
budget budget 90 crap,1
,1
excuse waste bad bad,1
worse poorly waste,0
waste boring ripoff,0
bad waste kidding,0
pointless awful lame waste,0
,1
gifted daylewis christy fricker sheridan daylewis,1
worse bad poorly budget bad,0
horrible bad waste bad awful crap holes bad stupid bother waste,0
contribution,1
,1
,1
,1
,0
boring,1
boring bad,0
fake,1
boring,0
,1
frances carole,1
bad,0
portrait,1
pathetic waste waste pathetic,0
gonna,1
,0
,1
,0
,1
collaborator fricker,1
rita,1
fricker,1
,1
poorly,1
budget budget stupid kidding,1
,0
,0
,0
,0
,0
bad bad bad,1
,1
horrible,1
,1
budget,0
,1
bad bin,0
bad awful bad bad poorly plain bad bad bad bad bad,0
rupert turd,1
stewart stewart stewart stewart,1
,1
bad,0
alexander,1
bad franz,1
,1
cheesy bad,0
cheesy bad horrible bad waste crap,0
christie,1
,1
,1
90 budget,1
fake,1
gershwin,1
,0
,1
bad boring horrible cgi stupid cgi boring cgi horrible fake excuse cgi bad,0
critters bad bad pile garbage,0
,0
,0
stupid lame lame,0
,0
,1
alfred newman barbara,1
contribution,1
barrel,1
bad,1
christy awful,0
cheap albert finney,1
,1
cheap,1
,1
,1
stupid melvyn,1
bad,0
,1
,1
,1
,0
,1
,1
stupid bother,0
bad bad atrocious plain,0
poop bother excuse,0
budget,1
cheesy pointless stupid horrible dumb pointless horrible fake rubber cheesy bother,0
sucks stupid horrible,0
,0
,1
portrait,0
,1
stupid,1
,1
ripoff,1
crap,0
awful,0
,1
lame rubbish,0
,1
,1
friendship loyalty,1
boring renting,0
friendship,1
daylewis painter christy painter sheridan sheridan daylewis christy daylewis christie daylewis christy fricker christy portrait,1
bother olivia,1
eaten eat bad,1
bad,0
bettany garbage,0
,1
,1
mindless,1
bad,0
awful,0
,0
,1
,0
,1
waste,1
,1
budget,1
crap crap wasting,0
,0
gonna stupid bad unoriginal budget crap waste,0
worse,1
holes,1
,0
awful atrocious bad worse bad stupid garbage,0
rubbish bad turd crap,0
pointless crap,0
boring bad,0
,1
cgi bad,0
,0
unwatchable,0
cheesy boring,1
waste,0
,0
,0
pointless pointless,0
,1
bad bad bad boring poorly bad philip cheap boring budget awful boring,0
cheesy cheesy cheap,1
,0
zombies loyalty understated zombies,1
,1
,1
pathetic dumb,0
boring,0
incoherent nonsensical holes holes holes,0
awful awful wasting,0
incoherent boring,0
mutual garbage bad bad,0
,1
,1
bad,1
bad worse ava worse worse,0
awful,1
lame zombies dumb budget bad atrocious zombies,0
,0
pathetic albert,1
crap stewart stewart stewart bad boring awful,0
stupid,0
gifted,1
,1
du gena rowlands 18th,1
bad awful,0
,1
bad stupid fooled lame bad bad waste waste,0
bad bad bad awful,0
,0
bad unimaginative stupid pointless dumb irene excuse worse poorly dumb cheesy,0
junk pathetic awful,0
awful budget northam olivia,0
,1
,1
,0
boring,1
boring,0
gifted,1
margaret,1
cheung,1
,1
unfunny poorly poorly cheesy unfunny poorly bad lame,0
fake budget,1
90 plain bother bad,0
,1
plain waste,0
bad cheap bad budget plain,0
waste cheap,0
pile,0
bad bad bad bad,0
,1
morons,0
,0
waste,0
bad lame filler stupid pile,0
rubber cgi bad bad cgi,1
budget,0
,1
portrait,1
bad,1
bad stupid snakes crappy crap bad bad,0
,1
bad amateurish,0
waste holes bad,0
,0
,1
ruth,1
bad ripoff,1
,1
,1
boring,0
,1
,1
contribution stupid,0
bad bad horrible bad bad awful,1
loyalty friendship laughable,1
unwatchable atrocious,0
,1
cheap waste camcorder waste cheap waste,0
,1
,0
pg13,1
,0
waste bad,0
budget bin,0
,1
cgi cheap cardboard,1
bad,1
leung bad,1
understated,1
dumb understated,1
,1
,0
,1
horrible,0
,1
,1
,1
worse,1
florinda florinda,1
,1
,1
bad poorly plain unfunny bad,0
,1
uwe worse zombies boring boring pointless cardboard 90,0
,1
,1
boring poorly,0
,0
illogical illogical bad,0
,1
crap,0
,1
,0
boring,0
,1
stupid pointless fake,0
awful,0
cheap,0
,1
,0
renting,1
architect bad cheesy bad,0
crap crappy waste,0
crap pointless stupid bad,0
waste horrible,0
,1
,1
captures,1
,0
bad bad bad boring,0
swearing bad fake boring stupid pointless bad,0
,0
bad 110,0
pathetic cheap,0
,0
,0
bloom bad jagger,0
ruth awful,1
bad bother,0
horrible atrocious pointless,0
90,0
bad,0
barbara stanwyck,0
,1
bad,0
pathetic,0
plain,0
stupid,1
,0
filler,1
philip,1
poorly budget poorly horrible bad fake bad,0
eaten bad,0
mindless,0
steaming pile gaping crappy,0
bad camcorder,0
ullman,1
,1
,0
worse,0
,0
,1
,0
,0
,1
dumb,0
lame boring bother,0
,1
awful boring 110,0
poorly bad poorly worse,0
,0
boring bad bad bad laughable fooled,0
fake,1
worse worse bad,0
plain bad awful bad bad bad bad awful bad horrible cgi bad,0
,1
plain pointless lame cardboard dumb dumber,0
bad worse worse,0
pointless,0
fooled,0
albert,1
,1
cheap laughable corn,1
,1
,1
crap bad crap,0
garbage gena rowlands,1
,1
,1
,1
,1
mindless,1
bad cheap cheap sucks,0
stewart,1
bad cheesy cheesy bad cheap,0
awful bad bad 110,1
,1
kidding cheap,1
waste,0
boring waste pathetic waste,0
unfunny,1
,1
,0
,1
barbara stanwyck,1
,0
,0
bad,1
,1
stupid,0
,0
,1
,0
critters ghoulies stupid,0
budget,1
bad sucks stupid boring stupid waste stupid worse stupid bad sucks,0
,1
,1
captures,1
horrible lame bad boring boring boring stupid stupid holes suck horrible,0
,1
,1
,1
cheesy crap budget bad budget cheesy bad crap,0
amateurish,1
budget cardboard worse cheap bad,0
postwar,1
,0
,0
gena rowlands rowlands portrait rowlands rowlands portrait,1
rubber awful,0
incoherent,0
,0
,1
bad,0
,0
michel,0
junk boring boring boring,0
pointless boring pathetic,0
garbage,0
ripoff dumb dumber boring,0
bad wasting bad,0
bad bad,1
olympia pointless laughably,0
alexander worse awful waste 110,0
worse bad gonna du,0
,0
poop fart filler,1
patriarch,1
,0
,1
costs,1
alexander rowlands,1
,1
captures,1
laughable,0
cgi unoriginal cheap cgi bad,0
,0
bad holes horrible,0
ripoff errol holes,1
philip painter bad reginald,1
,1
waste,0
budget filler,1
bad,1
,1
alexander gena rowlands binoche alexander,1
,1
,1
budget plain,0
bad bad bad,0
bad bad bad,0
,0
,1
,0
,1
lame bad bad suck costs,0
,1
,1
cheap poorly laughable bad,0
,1
bad gaping,1
bad cardboard bad bad 110 bad,0
,1
,0
stewart bad novak novak pointless crappy stink,1
fake,0
bad,1
,1
,1
,1
boring kidding horrible,0
pointless,0
blandings cary myrna loy melvyn blandings cary bad,1
horrible,0
,0
waste,0
,0
awful bad bad,0
meaningless bad awful budget excuse boring,0
wasting bad dumb horrible fake,0
pointless pointless sucks lame,0
boring boring,0
,0
youthful,1
,1
,1
plain philip irene,0
,0
bad,1
boring 90,0
boring laughable waste waste waste,0
stupid boring pg13 boring pg13 sucks,0
ronald ruth,1
bad bad,0
bother bad budget,0
,1
,1
,0
bad,1
awful budget budget worse,0
boring stupid,0
waste crap,1
cheesy,0
,1
stupid camcorder budget budget budget,0
worse poorly puke waste renting,0
worse,0
nonsensical,1
rubbish excuse morons unfunny,0
pile horrible poorly atrocious garbage,0
bad stupid,0
,1
bad,1
stupid stupid pointless stupid stupid,0
,1
,1
bad bad bad garbage dung,0
,1
bin,1
,1
bad bad bad crap laughable laughable,0
friendship,1
horrible waste poorly waste,0
horrible bad cheesy worse 90 renting ripped,0
sucked,0
custer bad,1
,1
,1
friendship junk,1
,1
bother,0
laura bad,1
bad bother 210,0
,1
,0
90,1
bad zombies,0
,1
bad,0
,0
,0
alfred bad mindless,0
,1
captures,1
,1
philip bad albert,1
waste awful,0
bad,1
laughable stupid bad,0
cheap patriarch awful rubbish budget,0
watson,0
budget,1
,0
,1
,1
amateurish plain,0
awful fiennes binoche bad,0
atrocious amateurish waste bad unfunny,0
boring,0
lame,0
bad bad boring holes garbage 0,0
capturing,1
,0
,1
poorly understated,0
,1
,1
,1
,0
irene,1
stupid bother,0
bad,0
,0
,1
bad worse renting awful worse plain waste garbage,0
,1
,1
,1
kidding kidding,0
suck rubbish,0
,1
,0
,1
bad cheesy cheesy boring,0
cary,1
antwone antwone antwone jerome davenport antwone antwone worse antwone antwone,1
ruth,0
,0
incoherent waste,0
lame excuse,0
,1
sucked,0
bad bad bad budget garbage,0
,1
,1
,0
,0
waste bad,0
ripped pointless,0
awful,0
junk,1
frances bad pointless stupid plain bad cheap poorly unimaginative budget awful rubbish stupid excuse,0
bad,0
boring,0
,1
,1
,1
,1
boring bad,0
,0
plain boring,0
bad,1
,1
swearing dumb,1
worse sucked costs,0
waste renting crap sucks,0
bad,0
awful philip,0
friendship,1
ably,1
210 bad gonna,0
,1
,1
,0
lame waste,0
bad,1
costs,1
bad bad,1
crap sucked crap,0
everett,1
,1
lame,0
lame junk,1
,1
budget budget costs 90 awful,0
,0
boring,0
,0
,1
,1
boring bad laughable crap plain boring,0
,1
,1
0 stupid cardboard worse bad excuse toilet cheap,0
illogical stupid,0
,1
,1
laughable bad meaningless,0
bad,0
boring pointless lame eat horrible,0
,0
fake,1
cheap rubbish boring horrible bad bad bad,0
,1
awful bad bad,0
bad bad,0
,1
rubber bad cheap rubber,1
bad bad boring,0
,1
worse dumb unfunny atrocious unfunny suck atrocious,0
steaming pile bad,0
rochester rochester,0
,1
crap eat puke,0
christy daylewis christy fricker christy christy christy crap,1
cheap laughable bad bad worse,0
,1
cheap,1
cheap lame,1
collaborator,1
,0
garbage 90,0
worse horrible dumb eat dumb fake cgi lame,0
,1
,1
,1
plain,0
awful bad 90 horrible bad bad bad bad,0
,1
collaborator,1
garbage,1
,0
crappy bother bad crap stupid,0
cheesy cheesy junk,1
fake,1
alexander gena rowlands,1
waste,0
renting bad,0
,1
boring,0
,1
,0
,0
unoriginal,0
myrna loy loy,0
gertrude,1
jonathan poorly waste,0
,0
boring boring,0
boring awful bad pointless,0
,1
pathetic,1
boring,0
eat,1
stewart vera stewarts,0
gonna gonna bad,1
,1
barbara alfred newman,1
bad boring bad bad waste,0
,1
,0
,1
lame boring budget boring crap lame cheesy toilet,0
,1
renting 0,0
cgi cheung,1
,0
boring,1
boring awful,0
,0
worse,0
waste,0
,1
,1
awful,1
cheap cheap,1
,1
,1
fake stupid awful pointless,0
holes bad,0
pile,1
waste bad vomit,0
budget,0
,0
,1
,1
zombies laughable holes,1
,0
friendship friendship,1
budget,0
horrible,0
,1
sht toilet,0
,1
bad,0
crappy poorly plain,0
cheap hale,0
,1
bad awful bad,0
barbara barbara bloom,1
pathetic stupid stupid,0
understated capturing vulnerability,1
,0
,1
budget,1
,1
bad,0
,1
stupid fooled bad,0
,1
excuse bad sucked,0
,0
eaten,0
,1
alfred,1
,1
budget amateurish awful bad,0
powell powell,1
,1
rubbish toilet rita,0
emil,1
stewart stewart stewart,1
watson,1
illogical plain,0
cheap unfunny,0
barbara,1
cheap,0
,1
eat lame waste eat,0
bad eat,0
awful stupid stupid stupid bad,0
,0
longsuffering,0
bin mindless,0
,1
,1
bad bad excuse,0
,1
budget,0
,1
junk playwright stupid unwatchable,0
jonathan jonathan jonathan jonathan jonathan,1
boring,0
bad stupid,0
poorly,0
,1
,1
,0
,1
,1
ticked gonna,0
bother cheesy bad,0
,1
horrible bad bad bad horrible poorly,0
,1
bad bad bad,0
denis denis denis denis denis,1
boring bloom,1
,0
boring,0
plain bad boring boring,0
,0
lame,0
sht amateurish,0
jonathan bad,1
,1
pile,0
ably,1
,1
capturing,1
garbage unfunny 90 mindless waste,0
,1
franz,0
stupid,0
,1
unfunny sht stupid ripoff unfunny,0
denis eat,1
crap stupid,0
,1
boring plain stupid boring wasting,0
zombies garbage bad zombies zombies lame stupid zombies zombies,0
laughable,0
,1
eat,1
plain fake,0
,0
,1
du jacques,1
,0
,1
fake laughable unfunny garbage eat,0
,1
,0
pg13,0
stupid,1
,0
,0
,1
awful 0,0
junk bad worse,0
,1
,1
bad kidding holes bad cheap,0
pathetic,0
cheesy,0
bad,0
stupid,1
,1
,1
horrible bad waste,0
pointless 0,0
,1
,1
excuse budget stupid atrocious worse mindless horrible,0
meaningless crap,0
,1
bad,0
horrible stupid bad,0
lillian,1
pg13,1
bad plain bad garbage,0
bad,0
,1
,0
horrible plain boring waste crap bother,0
,1
bad,0
lame sucked pointless stupid,0
pioneer obrien,1
crap bad bad bad bad,0
,1
,1
,1
bad meaningless costs,0
,1
,0
,1
bad garbage,1
alfred bother,1
,0
bad waste,1
bad,0
stupid stupid stupid bad bad,0
bad poorly stupid,0
bloom olivia christie,1
,1
,0
victoria albert victoria victoria atrocious victoria victoria victoria victoria 18th victoria victoria victoria victoria victoria albert victoria victoria victoria albert victoria albert albert victoria albert philip philip albert philip albert albert philip albert victoria albert victoria albert albert rupert victoria victoria,1
fake laughable,0
,0
bad,1
,0
,1
rubbish,0
,1
,1
boring bother bad,0
youthful bad worse,0
bother,1
portrait,1
fart stupid zombies bad,0
,0
rochester rochester,0
plain bad,1
,0
margaret eat margaret,0
,0
vibrant friendship,1
,1
,1
,0
,1
horrible,1
,0
,1
,0
bad budget,0
mindless bad bad bad bother renting,0
cheap,1
fake bad sucks stupid bad,0
loyalty,1
poorly,1
grahame,0
,1
olympia,1
excuse,0
alexander,1
pointless crappy worse,0
boring,1
,1
,1
bad,1
,0
boring,1
crap crap,1
bad,0
crap meaningless waste,0
,1
excuse awful laughable awful lame cheesy,0
,1
bad,0
bad,1
cheap tierney otto laura laura tierney,1
excuse,0
laughable jonathan,0
,0
,0
ably,1
bad laughable boring,0
poorly,0
,0
boring,0
,1
,0
,0
stewart stewart stewart gifted stewart custer stewart,1
bad,1
bad costs rubbish,0
bother bad,0
bad boring waste,0
bad bad waste,0
kidding,0
junk,0
bad bin,0
youthful,1
,0
,1
,0
awful bad bad gonna budget bad stupid stupid waste awful,0
,1
,1
bad bad unwatchable bad waste,0
,0
awful horrible boring nonsensical,0
denis michel,1
stupid,0
,1
,0
,0
albert,1
,0
budget,1
,1
,1
stupid stewart ably,0
,0
pointless 110,0
ruth ruth illogical,1
bad kidding,0
bin,0
cheap,1
bad,1
budget,1
,1
0 dumb horrible dumb horrible,0
,1
horrible,0
horrible,1
awful cheesy,0
barrel,1
waste,0
,0
,0
gonna,1
awful,1
,1
bad bad bad bad 110,0
,0
barbara,0
,1
gonna worse waste,0
lame,1
,0
vibrant cgi bad worse,1
,0
bad,1
bad,1
boring,1
,1
novak,1
amateurish,0
meaningless poorly,0
boring bad postwar,0
loyalty,0
,1
budget dumb,0
friendship friendship,1
rubbish boring bad pathetic,0
obrien understated,1
understated,1
crappy crappy,1
bad,0
rupert rupert plain bad,0
,1
boring bad budget waste,0
,1
,1
dumb,1
boring stupid,0
,1
playwright bad,1
awful bad,0
havilland lame,0
cgi,0
,1
bad,1
bad,1
bad,1
bad,0
bad worse,0
bad,1
,1
,1
,0
stupid sucks stupid bad laura,1
,1
,0
awful,0
,0
bad bad stupid bad,0
bad cgi,0
,1
,1
raines raines otto worse,1
,1
ruth friendship,1
,1
eat,1
plain stupid bad,0
unwatchable boring,0
boring,0
,1
bad,0
,1
waste,0
budget,1
bad denis,1
portrait gaping sucks bad sucked bad,0
,1
eat,1
alfred,0
bad,1
,1
crap,1
boring awful,0
waste bad stupid costs garbage,0
bad waste,0
bad bad bad bad bad steaming pile fake dumb dumb dumb,0
horrible,0
,1
,0
,1
budget,1
,1
bad,0
pathetic,0
fake,0
,0
,1
bad budget bad,0
bad,1
worse bother,0
,0
,1
horrible awful waste,0
bad,0
bad boring bad budget waste,0
,1
youthful pioneer,1
stupid unfunny awful,0
bad bad bad,0
barbara bad,1
,1
unfunny irene,1
bad,0
cardboard boring lame lame,0
,1
crap,1
,0
,1
,1
,1
,1
,1
horrible bad cheap pg13 waste,0
victoria,1
,1
bad bad bad albert 110,0
bad,1
errol flynns flynn collaborator flynn,1
,1
,0
,1
,0
bother boring,1
,1
boring plain plain poorly plain worse,0
,1
suck,1
lillian lillian watson watson lillian watson,1
,0
boring boring bad,0
boring,1
sucks boring bad sucks waste,0
crap,1
christie,1
,1
barbara,1
bad bad bad horrible dumb horrible gonna poorly stupid awful bad bad dumber horrible horrible,0
,0
,1
,1
poorly bad bad,0
,1
,1
lame worse,0
,1
nonsensical stupid philip,0
,1
,0
lame plain lame excuse renting plain,0
zombies zombies sheridan holes zombies boring zombies zombies poorly zombies fake cheap zombies budget zombies budget sucks awful zombies pile crap,0
,1
awful stupid stupid barbara barbara friendship,1
stewart stewart stewart stewart stewart stewart stewarts stewart stewart stewart stewart stewart stewart alexander stewart stewart,1
,1
,1
boring boring,0
budget camcorder stupid,0
gonna,0
bad stewart bad,1
bad worse garbage laura turbulent laura bad contribution laura,1
plain dumb,0
ticked,1
,1
,1
,1
olympia,1
pg13 stupid cheap cheap,0
olympia,1
dumb,0
gonna suck lame,0
stupid bad stupid,0
,1
bad,1
excuse,1
cheap pathetic,1
bad stupid,0
,1
fake,1
,1
,1
captures costs captures,1
bad budget bad bad bad waste wasting,0
gonna,1
,0
ripoff,1
gonna fake morons stupid,0
,0
zombies bad bad boring bad 90 fooled,0
horrible worse,0
,1
garbage bad bad bad bad bad garbage bad crap bother bin ripped,0
gonna horrible plain stupid crap,0
eat cheap,0
,1
swearing bad bad cheesy budget,1
boring,0
bad,1
rita everett,1
dumb,0
,1
bad bad boring otto worse awful,0
,1
friendship,1
,1
lame unoriginal bad,0
excuse fake,0
,1
lame worse cheesy lame worse bad,0
bad bad bad,0
horrible worse,0
,1
stewart,1
bad bad,0
albert,0
boring poorly,0
bad,0
olympia,1
,1
captures,1
cheap,1
awful pointless awful,0
waste,0
bad atrocious mindless laughably waste garbage wasting,0
garbage,0
snakes cgi cgi cgi garbage junk pile crap garbage,0
ruth christie,1
,0
excuse cheap worse,1
pile,1
boring cheap,0
bad,0
bad,1
,1
poorly poorly poorly fake lame waste pile garbage costs,0
,1
boring,1
,1
cheap holes sucks illogical crap toilet lame laughable,0
bad,0
,1
olivia,1
budget,1
bad bad ripoff,0
cheap,1
ably,1
bad cheesy fake bad,0
bad bad,0
,0
,1
sucks crap,0
meaningless cardboard cardboard,0
,1
portrait,1
,0
cheesy,1
understated,0
,1
,1
,0
boring newman,0
bad budget,0
incoherent,1
