x,y
worse zombies budget zombies bad dont bother 90 minutes minutes terrible 90 minutes gore effects dont lame minutes,0
laughing pathetic,0
stupid bad bad bad laughing worse,0
,1
effects lame,0
wouldnt laugh,1
wouldnt couldnt figured bad,1
crap cheap directtovideo bad budget laugh 110,1
vomit sit,1
,1
,1
joke,1
jokes minutes nudity bad,0
couldnt stupid,1
lousy couldnt,0
bad dont 210,0
terrible,1
boring,1
,1
jokes laughing jokes dont bad,1
trash,0
dont budget unwatchable bad effects bad iti unoriginal dont avoid costs seriously,0
asleep dont,0
excuse,1
,0
hype amateurish bad waste,0
,1
rented,1
pointless bad bad bad bad bother slugs gonna dont bad bad,0
boring,1
budget laugh,0
reviews,0
dont,1
minutes horrid horrid bad bad bad bad,0
crap dont,0
pathetic lame horrible corny worse effects cheesy budget scarecrows,0
dont reviews sit iti,1
scared scared itand scare,1
,0
bad wouldnt bad,0
310,0
waste awful amateurish illogical pointless stupid couldnt terrible dont popcorn bad,0
minutes avoid,0
bad bad amateurish mess,0
bad bad,0
effects,1
gore minutes minutes bad laughable dont terrible,0
whatsoever yourself,0
minimum dont dont yourself reviews,1
couldnt bad bad dont filler holes,1
rental boring lame couldnt minutes,0
garbage awful dont bad wouldnt pathetic awful couldnt wouldnt minutes couldnt minutes crap,0
joke jokes terrible,0
please yourself,1
effects,1
,1
mouths sit corny,1
,1
dont,1
,1
horrible bad bad dont worse,0
crappy whatsoever dont ripped scary amateurish terrible crappy bad crappy 310,0
effects unless bad scare bad bad bad bad couldnt couldnt bad dont,0
cheap bad,1
laugh laugh,1
,1
cheap vcr couldnt waste,0
predictable unimaginative drivel,1
90,0
couldnt,1
bad cheesy cheesy bad cheap spoiler,0
sit,1
bad,0
awful corny cheap avoid,1
,1
minutes,1
minutes scary,1
,0
uwe uwe boll uwe boll bad cgi lame honestly 010,0
rented wouldnt,1
bad awful unrealistic wouldnt terrible,0
,1
confusing,1
,1
unwatchable,0
,1
dont,0
minutes cheesy bad,1
horrible sucks disgusting dont disgusting yourself horrible nudity lame bad sucks,0
cringe waste,1
sit,0
budget holes minutes poorly boring unimaginative sucked dumb boring,0
dont minutes,0
figured iti,0
dont horrible dont dont dont,0
unless,0
,1
predictable minutes cheap camcorder dont continuity awful amateurish worse minutes awful avoid fx,0
boring gore,1
,1
,1
dont,0
minutes stupid effects,0
scare,0
waste reviews,0
,1
pathetic waste,0
jokes,1
,0
lame worse incoherent,0
dont dont,1
previews,1
mess bad bad bad garbage dung remotely scary minutes,0
bad laugh dont snakes pointless unrealistic bad redeeming,0
couldnt scared dont laughing minutes laughing bad,0
plain,1
waste pathetic minutes boring,0
,1
,1
,1
cheap,0
unrealistic offended cheap unless,0
terrible rent dont waste,0
dumb predictable jokes,0
laugh slasher dont bother unless 310,0
,0
dont couldnt terrible crap,1
dont explosions minutes,0
minutes,1
dont popcorn,0
scare cheap scare,1
seriously,1
,1
minutes scare effects cheesy bother please rent cheap please dont dont waste,0
lame 310,0
mess bad cheesy awful,0
,1
stupid minutes wanna worse,0
scary yourself,1
yourself,1
minutes avoid avoid,1
minutes bad terrible honestly warn waste yourself dont,0
rented,0
dont dont dont laughable dont,0
bothered minutes mess crap hype,0
minutes fastforward,0
horrible effects,1
,1
terrible wouldnt waste,0
dont waste seriously seriously,0
,1
spoiler avoid gore,1
budget effects rubber minutes itll,0
cheesy cheesy cheesy bad cringe,1
bad explosions dont boring dont worse dont bother,1
wouldnt,1
boring boring minutes dont bad,0
refund please,1
pile crap terrible bad dont bad bad illogical bad bad,0
nudity unless laughable,0
couldnt dumb scary,0
,1
amateurish renting dont,0
boring remotely confusing stupid waste figured lame avoid,0
,1
awful awful,0
boring pointless filler budget predictable cheesy,1
rental,1
,1
dont wouldnt minutes minutes,1
90 minutes,0
awful junk unrealistic dont bad wouldnt waste bad boring predictable waste,0
reviews,1
rental,1
bad,1
dont budget cheesy cheap budget wouldnt,0
bad seriously unless bad bad gore bad suck,0
seriously dont,1
dont yourself honestly minutes stupidest dont bother dont bad,0
,1
trash minutes joke,0
minutes couldnt horrible,0
sucked,0
couldnt,1
seriously jokes jokes dont stupid reviews dont unless dumb,1
dont dont,1
pg13 gonna unrealistic dont,1
stupid dont fooled,1
effects,1
mess,0
budget crappy,1
,1
minutes,1
mindless,1
dont seriously,1
,0
renting bad bad lame moviei suspend disbelief crap,1
unimaginative,1
bad,1
awful cheap worse corny unfunny joke cheap jokes jokes,0
,1
plain,1
,1
,1
,0
,1
,0
dumb boring,0
crap awful minutes minutes horrible scary horrible couldnt bad pathetic effects laughable budget cheap horrible stupid unoriginal lowest costs minutes minutes waste garbage,0
wouldnt 0,0
gore,1
scary,0
wanna stupid dont stupid laughing stupid gonna,0
zombies zombies reviews cheap bad worse dont trash trash bad reviews reviews dont bad reviews boring boring,1
minutes dont,0
sucked,1
redeeming boring 90 minutes asleep,0
bad,1
,1
dont dont trash boring bad,1
,1
,1
cheap vcr bad awful stupid predictable,0
bad jokes jokes,0
jokes,0
effects,1
moviei unrealistic dont dont unrealistic budget bother reviews reviews,1
,1
terrible laughing,1
,1
,1
gore,1
lame excuse bad bad bad couldnt dont bad waste please pile junk cents dont budget iti,0
stoned hobgoblins couldnt stoned hobgoblins couldnt please dont please,0
meaningless jokes,0
sucked,1
pointless dont gonna horrible nudity joke unless bad,0
bad,1
excuse please,0
asleep 90,0
dont unnecessary,0
budget couldnt predictable wouldnt,0
rental,0
laugh,0
itd bad awful boring wouldnt boring boring,1
bad,1
,1
reviews predictable boring sit yourself bad,1
bad,1
scared bad bad disgusting scare bad,0
,0
bad bad,1
dont stupid,1
dont,1
renting reviews seriously effects bad bad netflix fx,0
cheap scare couldnt dont yourself,0
reviews,1
rent,1
,1
crappy,1
,0
dont illogical illogical,0
honestly scary scare dont scary,1
,1
bad bad bad,0
,1
,1
awful couldnt laugh dont dont,1
stupid waste dumb drivel,0
,0
,0
,0
confusing shelf waste 90 minutes,0
yourself dont dont,1
reviews minutes suck,1
please,1
,1
,1
bad laughing awful terrible crap effects couldnt amateurish bad cheesy effects stupid bad terrible crappy gore nudity awful,0
,1
,0
sit laugh,1
bad horrible,1
yourself honestly,1
minutes,0
figured yourself rubbish cgi dont,1
dont dont minutes dont suffice,1
bad bad swearing,0
predictable couldnt bad predictable wouldnt,0
budget budget blockbuster,1
,1
dont,1
crap dont dont ticked,0
couldnt awful boring awful,0
honestly zombies zombies couldnt,0
laughable seriously,1
gonna,1
minutes predictable,1
bad awful terrible dont bad,0
ebay,1
trash meaningless trash meaningless turd waste mindless trash,0
bad,0
waste seriously,1
bad,0
210 sit unrealistic unrealistic dont,0
dont iti stupid dont,1
,1
boring cheap budget effects couldnt minutes,0
awful plain excuse,0
sequels seriously bad horrible laugh ripped,0
cheesy explosions seriously,1
worthless,1
sit pathetic dont,0
bad budget bad effects zombies gore effects bad zombies gore ripped gore laughing budget,1
bad hype predictable dont dont,0
,1
,1
bad rental,1
effects sequels,1
please avoid costs redeeming horrible,0
bad stupid,1
jokes effects,1
gonna reviews 90 90 dont dont,0
rubbish bad dont rehash dont redeeming turd crap,0
confusing boring,1
,1
,1
,1
,1
,1
yourself,1
wasting awful stupid bad minutes awful,0
godawful predictable minutes,0
dont gore dont wouldnt,1
spoiler stupid bad dumb boring,1
,1
,1
bad bad,1
laughing,0
terrible effects cgi budget sequels,0
,0
dont stupid bad effects sit worse unless avoid,0
bad please horrible stupid wasting,0
dont bad wouldnt,1
reviews pathetic,0
horrible worse stomach yourself sit wouldnt unless,0
dont minutes,0
rubber gore minutes awful disgusting camcorder shelf bad bad bad cgi cgi gore bad bad gore,0
dont,1
effects worse worse,0
spoiling,1
confusing dont,0
awful sucked,0
poorly bad waste,0
unless continuity couldnt couldnt horrible bad laughing,0
stunk,0
,1
pointless,0
puppets,1
,1
,1
couldnt stupid stupid moviei,0
unless,1
fx,1
horrible rent,0
lame honestly dumber redeeming bad dumbest mess yourself bad,0
cheap gore,0
bad reviews boring horrible honestly cgi disbelief stupid cgi boring cgi horrible effects excuse minutes sit cgi bad,0
laugh dont dont dont avoid 310,0
budget excuse,0
dont joke couldnt dont effects bad terrible boring gore,0
,1
cheap effects effects,1
boring,0
worse,0
bad couldnt terrible dont scary,0
couldnt bad,1
dont bad dont,1
lousy seriously bad waste kidding,0
minutes,1
bad bad plain,0
,1
wouldnt,0
bad reviews stupid minutes laughing,0
,1
budget amateurish boring wouldnt,0
rented reviews minutes terrible scary stupid stupid registered bad bad awful warn sit sit dumb worse dumb dumb dont minutes yourself lousy,0
dumb bad awful bad,1
yourself dont dont,1
dont dont remotely waste dont hype waste,0
bad,1
pointless minutes boring stupid,0
mess,1
,1
dont,1
couldnt,1
incoherent laugh,0
boring,0
amateurish dont waste bad,0
,0
please,0
dont,1
gore slasher,1
terrible terrible terrible suck incoherent budget continuity please dont dont,0
budget dont bad,0
dumb stupid freaking laughing horrible joke,0
nudity,1
itll bad boring unfunny joke poorly,0
effects,1
ripped hostel,1
dont worse minutes lame awful laugh bad dont waste,0
terrible,1
wouldnt,0
,1
please terrible wouldnt,0
90 rented seriously,1
mess laugh,1
couldnt couldnt,1
mess unwatchable seriously redeeming trash bad,0
terrible waste excruciatingly bad unwatchable toilet please avoid please avoid,0
please bad scare laughable scared,0
0 continuity bad worse bad honestly worse bad unless bad unless,0
90 rent,1
lame,1
unless predictable boring,0
avoid dont jokes wouldnt bad please please,0
dont,1
awful mess,0
bad horrid horrid fx joke waste,0
worse unless minutes bad corny bad,0
pile jokes lame plain plain crap dont waste,0
remotely dont crap boring terrible excruciatingly sucks excuse cheap excuse unless minutes waste bad,0
boring garbage dont yourself stupidest,0
sucked waste hype yourself worse 210,0
nudity poorly worse poorly,0
predictable,1
budget predictable seriously minutes,1
rent rent rent crap,1
worse eaten bad effects laughable poorly,1
budget laugh yourself,1
dont,1
,1
laugh,0
bad effects minutes bad bad spoiler crap,0
stupid,1
please,1
terrible lame stupid terrible junk sit awful waste bad scary terrible dont waste dont waste dumber,0
unfunny,0
bad,1
laugh stupid stupid unfunny,0
meaningless waste,0
sit,1
predictable disgusting,0
,1
stupid 110 budget stupid bad stupid,0
worse minutes couldnt worse garbage unless plain,0
,1
boring critters nudity,0
,0
cringe dumb redeeming 110 avoid,0
,1
dont,0
awful reviews stunk,1
awful confusing laughable confusing unless drivel,0
,1
horrible dont,0
couldnt minutes dont minimum cheap horrible,0
dont,0
bad,1
,1
dumb gore rushed mess mess sequels terrible,0
dont dont dont bad,1
,1
,1
minutes mess,1
dont,1
horrible sit awful waste,0
dumb bad,0
pointless bad awful bad bothered,0
honestly bad boring,1
crap cgi couldnt sit suck disbelief critters sucked,0
,1
horrible,1
effects dont,1
predictable,1
dont bother lousy slasher bad crap,0
,1
gore effects mindnumbingly awful,1
dont dont seriously,0
minutes remotely worse dont figured bad yourself incoherent worse rent worse worse,0
plain,1
dont confusing,1
stupid dont shoddy minutes couldnt,0
,1
budget worse confusing trash gore budget dubbing terrible worse,0
boring effects,0
crap terrible terrible couldnt,0
,1
couldnt,0
,1
,1
waste,0
dont stupid slasher dont,1
bad sequels bad gore effects effects effects bad gonna,0
warn scary,1
dont dont terrible bad,1
dont,1
nudity,1
,1
,1
confusing suspend disbelief,1
,1
dont bad minutes,0
poorly,0
minutes,1
unless terrible bad boring figured,0
predictable,1
bad bad awful worse worse sequels worse worse,0
minutes minutes sit minutes,0
crap bad pile crap predictable boring,0
poorly figured,1
jokes stink,0
budget shoddy effects mess,0
,1
blockbuster 90 wasting pointless unfunny,0
bothered poorly pointless pointless 90 minutes,0
,1
bad dont bad couldnt horrible couldnt,0
horrible dont horrible,0
dont,1
dont,1
,1
previews,0
couldnt,1
,1
bad minutes garbage blockbuster,0
bad bad,0
minutes,1
,1
,1
turd fx excruciatingly dumb bad bad unless yourself,0
,1
,0
,1
seriously mindless mindless,1
,1
bad bad bad continuity,0
honestly,1
gore couldnt,1
cents,1
dont reviews wouldnt cutouts,1
effects boring boring dumbest,1
sit dont sit dont,1
previews previews terrible dont bad,1
trash,0
asleep pointless bad,0
laughing laughing effects,1
joke waste dont mess laugh please pile offended,0
dont lame,1
sht budget crappy dont,1
dumb,0
gore stupid honestly gore,0
,0
please jokes,1
avoid stupid bad bad,0
awful dont spoiler dont minutes dont minutes dont waste,0
bad,0
terrible awful awful 210,0
yourself,1
effects terrible boring horrible,1
bad minutes laughing bad minutes,0
sit,1
bad minutes,0
,1
sit mins plain,1
slasher bad avoid terrible swear scarecrows cheap bad horrid laugh terrible bad cheap effects bad cheap laugh,0
laugh laughing joke laugh dont dont ripped,1
effects,1
,1
hostel dont please bad bad,1
effects sit couldnt,1
dont dont,1
minutes dont,0
awful previews bad ebay yourself waste laugh,0
85 couldnt reviews reviews bad,0
junk dont dont excuse dont minutes minutes dont,0
bad avoid blockbuster,0
dont scary minutes bad bad bad,0
dont couldnt,1
sucked terrible bad bad terrible,0
plain rubbish,0
awful bad plain awful incoherent awful dont sht ripped,0
,1
dont junk dont,1
mess unnecessary dumb laughable mess whatsoever confusing rushed,0
awful,0
rented,1
bad poorly dont,0
slugs waste slugs slugs laugh stupid slugs gore slugs horrible nudity poorly slugs nudity,0
horrible laugh,1
bother yourself,0
,1
bad toilet,1
lousy bad cheesy,1
garbage,1
bad crap,0
,1
effects explosions effects,1
,1
,1
trash scared waste rental itll,1
poorly whatsoever boring dumb cgi horrible lame seriously pathetic bothered mindnumbingly boring,0
,1
couldnt horrible mouths cheap budget budget,0
,1
unoriginal,1
couldnt laughable,0
wouldnt,1
budget minutes,1
mess mess mess bad bad,0
scary minutes poorly terrible bad yourself minutes,0
,1
seriously lame crap worse,0
suffice sequels,1
rehash honestly,0
registered bad 90 minutes dont,0
excuse boring dont,0
please couldnt bothered,0
stupid,0
jokes minutes,1
ripped,1
bad bad boring boring bad,0
bad dont,0
steaming pile seriously nudity nudity dont crappy nudity,0
dumb,1
honestly seriously dont badi seriously awful bad bad minutes gonna budget bad stupid stupid waste dont awful dont,0
,1
dont bother,0
,1
lousy sucks scare scare scare scared spoiler bad joke seriously avoid scary sucked bad sit,0
,0
effects budget rent,0
,1
bad cringing hype,0
,1
figured bad bad stupid awful awful,0
,1
,1
bad excuse plain sit,1
,1
effects budget cheesy,1
bad bad bad minutes worse dont,0
dont dont worse jokes scary dont popcorn,0
85,1
jokes couldnt,1
horrible horrible bad,0
yourself dont laugh avoid kidding pile,1
,1
,1
excuse minutes headache horrible minutes minutes dont,0
horrible reviews bad dont bad minutes horrible bad wouldnt sit unless,0
lowest,0
couldnt camcorder minutes effects couldnt bad bad bad crap nudity,0
bad trash minutes eaten awful bad couldnt 0 110,0
bad bad incoherent waste,0
joke itbut minutes couldnt awful,0
honestly worse unless remotely jokes terrible,0
bad minutes,1
rushed minutes bother,0
,0
crap dont boring rented boring,0
dont dont whatsoever gore effects budget toilet explosions effects,1
spoiler slasher lame slasher,0
,1
reviews,0
bad,1
unless holes laughable please waste sit seriously horrid excuse laugh,0
laugh,1
,0
lame waste,0
,0
minutes rushed minutes,0
dont laugh dont laugh,1
critters ghoulies ghoulies jokes worse hobgoblins dont joke lame,0
,1
pointless,1
,1
dont minutes popcorn,1
dubbing swear dont scary,1
awful drivel bin sit 110 0,0
awful reviews,0
budget budget laugh laughing bad,0
,1
cheap boring cheap scare mindless gore,0
boring disgusting couldnt,0
,0
,1
terrible dont,1
jokes,0
sit pathetic unless 110,0
rented boring predictable dont,0
redeeming avoid,0
bad reviews budget,1
trash mouths dont pointless nudity,0
laughable,0
terrible lame bad minutes,0
mess jokes wouldnt jokes mess plain,0
dont plain stupid,0
dont 90 excruciatingly offended stupid 90 minutes jokes poorly dont minutes avoid costs,0
boring,0
bad joke redeeming,0
awful mess,0
scary gore mess,0
bad laugh crap,0
lame bad,0
,1
bad,0
reviews,1
dont lame boring dont wanna boring,0
bad minutes unfunny,0
rent,1
pathetic disgusting plain,1
rented boring poorly unimaginative,0
predictable boring,0
bad stupid,0
dont crap sit,0
unoriginal boring couldnt,0
pointless redeeming laugh spoiler dont,0
terrible unrealistic unless,0
anticlimatic,1
holes stupid stupid waste awful,0
abomination corny,0
effects,1
dont minutes,1
reviews drivel,0
pile pile,1
reviews crap terrible dont whatsoever confusing cheap,0
avoid awful terrible dont,1
terrible bad slugs slugs scarier iti slugs,0
dont figured illogical,0
minutes minutes horrid worse worse redeeming whatsoever excuses yourself horrible trash,0
effects dont waste mess,0
stupid slasher trash please dont waste yourself rubbish,0
shelf corny,0
laugh bad,0
avoid couldnt lousy,0
bad sucks laugh,0
,0
dont,1
,1
bad bad nudity effects effects cheesy excuse worse 310,0
jokes,1
unnecessary bad couldnt wouldnt,0
pointless dont stupid,0
godawful horrible,0
dont minutes minutes bad 310,0
effects,1
stupid bad lousy sit stupid,0
rental,1
seriously dumb renting,1
dubbing sit dont dont dont,1
wouldnt godawful bad bad lousy bad,0
effects,1
dont laughing wouldnt rented headache,0
lame jokes slasher budget bad minutes,0
bad terrible cheesy abomination trash bad laugh bad,0
blockbuster popcorn popcorn effects bad,0
couldnt boring,1
210 bad gonna,0
effects trash bad dont waste,0
,1
terrible bad whatsoever honestly laughable sit garbage dont waste waste,0
bad garbage bad dung bad bad gonna gonna bad reviews horrible dumb crap wouldnt bad dont crap toilet yourself,0
rented dont yourself,0
minutes 90 dont unless,0
idiots,0
boring waste,1
,1
bad,1
please bad,1
effects please 0 dont dont,0
budget budget budget couldnt wouldnt wouldnt scared budget disbelief rubbish bad effects,0
terrible stink couldnt,1
reviews terrible suspend disbelief wouldnt,0
worse bad dont dont bad 90 minutes bad,0
reviews slasher gore ripped nudity,0
lousy please dont waste dumber,0
crap sit dont plain bad crappy bad stupid gore sit couldnt,0
horrible dont lame dont yourself,0
,1
laugh wouldnt cos dumb couldnt stupid warn minutes drivel,0
joke seriously,1
ripped,0
yourself dont,1
dont couldnt wasting vomit,0
boring bad cheesy boring boring boring crap bad,0
dont terrible bad stupid,0
meaningless,0
,1
effects rushed continuity bad dont minutes dont dont,1
swearing dont,1
bad boring boring rent,0
rubbish predictable,1
boring,1
,1
avoid plain bad minutes 90 minutes minutes,0
stupid dont offended laugh dont laugh laugh,1
awful sit worse effects dont dont seriously bad 110 laugh gore gore laugh,0
kidding dont minutes couldnt laughable,0
,1
bad,1
,1
honestly,1
sucked couldnt,1
,1
crap pile,0
,1
mess couldnt worse worse horrible dont laugh,0
,0
dont dont,0
stupid boring,0
laugh bad joke jokes minutes,0
bad cheesy,1
awful itll,0
joke joke poorly,0
rent dont lame poorly gore effects junk,0
,1
budget bothered,0
terrible unimaginative pathetic awful laughable dont waste,0
bad dont,0
horrible,1
,0
dumb cheap bad,0
barrel bad,1
laughable boring minutes sit,0
minutes,0
effects,1
,0
seriously awful worse cheesy excuse terrible laughable,0
unless worse,0
fx corny bad fx,0
bad,0
,1
wouldnt bad rubbish crap,0
,0
dont garbage stupid unrealistic awful scared scared scared dont boring bad dont awful bad bad rent avoid mess,0
,1
budget yourself budget avoid unless poorly,0
bad minutes,1
dont dont dont please,0
budget holes,1
bad effects horrible terrible 0,0
budget mess dont untrue,1
zombies bad awful effects budget dubbing crap wouldnt bad dont sucks dont,0
laugh,1
sucked terrible,1
bad bad,0
excuse dont,1
,0
worse budget,0
pointless please pointless,0
dont,1
,1
crap meaningless waste,0
bad horrible,0
dont reviews couldnt cheesy bad bad,0
rented minutes bad plain bad dont waste,0
dont,1
effects dont,0
corny dont,0
,1
budget nudity dont,0
scary scary boring plain bad bad jokes jokes jokes stupid jokes scary jokes,0
bad rent cheezy jokes worse rent yourself bad,0
,1
toilet waste unless,0
,1
bad,1
,1
bad continuity effects cheap wouldnt couldnt effects suspend disbelief,0
,1
dont budget gore budget dont gore,1
,1
scared,1
worse,0
dont dont rent,1
,1
rented couldnt laugh bad,1
poorly minimum dont waste crappy,0
dont,1
terrible,0
,1
,1
laugh stupid plain,0
,1
terrible terrible terrible bad minutes,1
boring minutes minutes,0
minutes pointless gore,0
scared,1
,1
cheesy minutes boring,0
,1
effects horrible redeeming bad laugh crappy wouldnt laugh joke,0
,1
yourself nope dont mess,0
horrible explosions joke,1
please cheap crappy minutes sucked,0
dont,0
fooled dumb lame,0
couldnt minutes,1
worse rent poorly dont couldnt wouldnt,0
worse bad worse minutes,0
,0
dont predictable stupid drivel stupid,0
bad cheap sucks waste,0
jokes effects fart walmart,1
boring sht cheap,0
confusing pathetic,0
,0
sit,1
crap morons,0
pile garbage bad,0
sit,1
dont,1
directtovideo jokes jokes dont directtovideo bad dont,1
whatsoever,0
budget effects,1
predictable netflix dont,0
reviews pointless awful lame waste,0
bad bad dont dont awful,0
,1
wouldnt bad predictable bad continuity bothered,0
plain bad plain disbelief bad stupid waste bad rent,0
amateurish awful terrible,0
holes laughing jokes excuse dumb wouldnt shelf dumb,0
,0
avoid,0
cgi stupid,1
cheap poorly horrible garbage,0
bad bad please,1
couldnt 310,0
dont fooled gore gore disgusting effects cgi,1
waste worse hype,0
,1
,1
badi horrible crappy bad effects effects horrible bad bad worthless bad,0
dont dont scared,1
rubbish boring,0
,1
,1
bin bin crap horrible nudity,1
plain bad,0
dont dont gore,0
,1
explosions,1
figured stupid mess pointless meaningless poorly avoid minutes,0
bad nudity couldnt budget bad bad effects dont bad dont waste wasting,0
,1
,0
,1
dumb dumb dumb lousy effects effects effects mess,0
,1
bother,1
bad explosions shoddy dont,0
laugh budget hype,0
boring idiots rubber pointless,0
rent,1
bad,0
pointless unimaginative,0
dont,0
directtovideo sequels bad joke terrible directtovideo sequels minutes kidding holes bad cheap yourself,0
crap stink previews continuity bad laugh bad awful avoid,0
,0
sucks,1
scare sit minutes trash disgusting laughing rent,0
,1
bad minutes gore,0
rented joke stupid dont wanna rent sit trash,0
yourself dont,1
,1
,1
poorly,1
effects bad fx confusing bad excuse,0
wasting bothered bad,0
,1
renting blockbuster laugh,1
crap terrible worse stupid bad trash,0
,1
dont,1
dont,1
cheezy ripped,1
terrible amateurish yourself,0
couldnt awful moviei couldnt dont stupid dont bad laugh,1
eaten,1
,0
komodo seriously confusing stupid stupid excuse effects,0
budget,0
,1
horrid dont dont dont dont dont bad rubbish unless,0
,0
dont plain stupid bad renting,0
,1
dont,1
bad,0
,0
seriously,1
dont,1
,1
boring swear boring,0
effects laughable spoiler unoriginal,0
reviews,1
bad worse yourself,0
yourself,1
rubbish,0
dont effects,1
,1
dont dont laugh,0
predictable laughing sit bad,0
awful,0
,1
bad stupid cheap,0
dont honestly,1
bad laughable rubber effects lousy 90 barrel,0
,1
reviews boring boring boring dont whatsoever predictable mess predictable trash,1
honestly seriously honestly,1
rental,1
reviews dont,1
,0
cheesy excuse bad worse,0
bad,1
confusing,0
blockbuster terrible,1
stupid unrealistic sucked bother dont stupid rent horrible horrible,0
excuse,1
,0
,1
cheap,1
rented minutes minutes wanna confusing dont,0
dont dont dont bad headache,0
confusing cgi,1
mess,0
dont plain whatsoever dont,0
garbage poorly lame stupid dumb,0
crappy pointless gore crappy excuse pointless sequels pointless gore,0
laughable bad meaningless nudity,0
dont hype,0
dont bother tripe,0
,0
cos,1
dont poorly worse dont bad lame dont cgi fx effects cgi bad bad bad effects mess dumb bad 310,0
dont scare minutes dont couldnt minutes,1
awful couldnt joke couldnt,0
bad awful meaningless rubbish,1
dont,0
gonna fx dont dont sucked fx sucked sucked unoriginal excuses,0
,1
moviei dunno bad dont bad,1
,1
dont plain crap junk gore dont,0
wouldnt figured predictable,0
dont terrible plain bad minutes awful bad bad predictable bad bad awful bad horrible effects dont gore effects cgi effects terrible bad avoid,0
dont,1
,1
minutes poke,0
wouldnt figured dont boring,1
,1
unless snowballs 0,0
dont,0
walmart lousy laugh dont crappy worse stink,0
horrible bad effects couldnt scarier couldnt bothered confusing,1
bad sucks couldnt crap couldnt sucks sucks dont,0
awful bad amateurish scared fx effects terrible cheesy,0
bad dont waste worthless,0
scary bad cheesy jokes joke joke disgusting laugh scary,0
,1
,1
bad effects effects budget,0
,1
,1
sequels sequels worse,0
horrible horrible trash excuse bad terrible worse,0
dont,1
worse dont worse awful worse,0
,1
reviews,1
dont jokes dont dont jokes kidding kidding,0
bad horrible avoid costs unless,0
dont halfway spoiler please dont please stomach,0
dumb dont,1
,1
,1
scary please yourself dont dont,0
,1
bad unless remotely boring minutes bad dunno bad dont stupid,1
boring,0
,1
laugh seriously please download please,1
ripped dont dont,0
please plain trash worse dont,0
dont,0
bad budget bad bad bad gore,0
,1
,0
,1
unfunny unfunny unfunny jokes,0
,1
wouldnt couldnt sit plain plain,1
suck bad pile crap laughable awful,0
mess gore waste horrible,0
,1
cheap dont scary,0
,1
nudity,1
dont effects hype crap crappy dont dont dont waste,0
,0
minutes,0
terrible,0
,1
scary minutes rushed,1
costs,1
,1
incoherent unfunny confusing halfway fastforward,0
effects,1
unless,0
,1
effects wouldnt laughing shelf,1
bad minutes lame honestly padding budget mess dont,0
seriously dont rent,1
nudity garbage,1
worthless moviei crap yourself,0
effects disbelief budget,1
seriously crappy bad bad bad bad dont wrap bad,0
couldnt worthless drivel bad stupid sit abomination costs,0
sucked,1
effects dont rubber,1
godawful bad horrible asleep couldnt waste,0
scared lousy renting,0
jokes,0
horrible,1
bad rental bad bad,0
bad bad plain rubbish cents,1
,1
reviews wouldnt cheesy horrid bad lame cheesy lame,0
rubber,1
,0
laughing,1
disgusting jokes dont swear moviei predictable bad bad excuse puke,1
,1
mess sit,0
,1
,1
dont bother,1
boring,1
,1
minutes jokes,1
tripe bad dumb bad bad bad dont joke dumb,0
,1
,1
,0
dont,0
wasting,0
tripe awful rubbish dont terrible cheesy terrible dont avoid honestly couldnt honestly redeeming crap tripe yourself,0
